,taxon_name_w_authors,201807_accepted_name_w_author,202212_taxon_name_w_authors,202212_chained_accepted_name_w_author,202212_chained_accepted_species,202212_direct_accepted_name_w_author,202212_direct_accepted_species,202212_chained_accepted_genus,202212_direct_accepted_genus
153,Haplopappus wigginsii S.F.Blake,Machaeranthera wigginsii (S.F.Blake) R.L.Hartm.,Machaeranthera wigginsii (S.F.Blake) R.L.Hartm.,Machaeranthera wigginsii (S.F.Blake) R.L.Hartm.,Machaeranthera wigginsii,Xanthisma wigginsii (S.F.Blake) D.R.Morgan & R.L.Hartm.,Xanthisma wigginsii,Machaeranthera,Xanthisma
228,Arnica amplexicaulis Wall. ex DC.,Pentacalia amplexicaulis (Kunth) Cuatrec.,Pentacalia amplexicaulis (Kunth) Cuatrec.,Pentacalia amplexicaulis (Kunth) Cuatrec.,Pentacalia amplexicaulis,Ligularia amplexicaulis DC.,Ligularia amplexicaulis,Pentacalia,Ligularia
243,Aster lusitanicus Brot.,Aster willkommii Sch.Bip.,Aster willkommii Sch.Bip.,Aster willkommii Sch.Bip.,Aster willkommii,Galatella aragonensis Nees,Galatella aragonensis,Aster,Galatella
308,Gamochaeta standleyi (Steyerm.) G.L.Nesom,Pseudognaphalium standleyi (Steyerm.) G.L.Nesom,Pseudognaphalium standleyi (Steyerm.) G.L.Nesom,Pseudognaphalium standleyi (Steyerm.) G.L.Nesom,Pseudognaphalium standleyi,Gamochaeta standleyi (Steyerm.) G.L.Nesom,Gamochaeta standleyi,Pseudognaphalium,Gamochaeta
315,Bigelowia nevadensis (A.Gray) A.Gray,Ericameria parryi var. nevadensis (A.Gray) G.L.Nesom & G.I.Baird,Ericameria parryi var. nevadensis (A.Gray) G.L.Nesom & G.I.Baird,Ericameria parryi var. nevadensis (A.Gray) G.L.Nesom & G.I.Baird,Ericameria parryi,Solidago velutina subsp. sparsiflora (A.Gray) Semple,Solidago velutina,Ericameria,Solidago
410,Erigeron diversifolius Rich. ex Rchb.,Bellis annua L.,Bellis annua L.,Bellis annua L.,Bellis annua,Erigeron annuus (L.) Pers.,Erigeron annuus,Bellis,Erigeron
456,Anthemis mucronulata K.Koch,Matricaria breviradiata (Ledeb.) Rauschert,Matricaria breviradiata (Ledeb.) Rauschert,Tripleurospermum breviradiatum (Ledeb.) Pobed.,Tripleurospermum breviradiatum,Anthemis marschalliana subsp. pectinata (Boiss.) Grierson,Anthemis marschalliana,Tripleurospermum,Anthemis
495,Aster spathularis Steud.,Inula salicina L.,Inula salicina L.,"Pentanema salicinum (L.) D.Gut.Larr., Santos-Vicente, Anderb., E.Rico & M.M.Mart.Ort.",Pentanema salicinum,Grindelia inuloides Willd.,Grindelia inuloides,Pentanema,Grindelia
505,Heteropappus biennis (Ledeb.) Tamamsch. ex Grubov,Kalimeris tatarica Lindl. ex DC.,Kalimeris tatarica Lindl. ex DC.,Aster biennis Ledeb.,Aster biennis,Symphyotrichum falcatum var. commutatum (Torr. & A.Gray) G.L.Nesom,Symphyotrichum falcatum,Aster,Symphyotrichum
659,Aracium pygmaeum Miq.,Ixeridium laevigatum (Blume) Pak & Kawano,Ixeridium laevigatum (Blume) Pak & Kawano,Ixeridium laevigatum (Blume) Pak & Kawano,Ixeridium laevigatum,Leontodon saxatilis subsp. saxatilis Lam.,Leontodon saxatilis,Ixeridium,Leontodon
