,taxon_name_w_authors,201807_accepted_name_w_author,202212_taxon_name_w_authors,202212_chained_accepted_name_w_author,202212_chained_accepted_species,202212_direct_accepted_name_w_author,202212_direct_accepted_species,202212_chained_accepted_genus,202212_direct_accepted_genus
87,Nothites latifolia Cass.,Stevia melissaefolia (Lam.) Sch.Bip.,Stevia melissaefolia (Lam.) Sch.Bip.,Stevia melissaefolia (Lam.) Sch.Bip.,Stevia melissaefolia,Stevia melissifolia Sch.Bip.,Stevia melissifolia,Stevia,Stevia
101,Baccharis glutinosa Pers.,Baccharis salicina Torr. & A.Gray,Baccharis salicina Torr. & A.Gray,Baccharis salicina Torr. & A.Gray,Baccharis salicina,Baccharis salicifolia (Ruiz & Pav.) Pers.,Baccharis salicifolia,Baccharis,Baccharis
153,Haplopappus wigginsii S.F.Blake,Machaeranthera wigginsii (S.F.Blake) R.L.Hartm.,Machaeranthera wigginsii (S.F.Blake) R.L.Hartm.,Machaeranthera wigginsii (S.F.Blake) R.L.Hartm.,Machaeranthera wigginsii,Xanthisma wigginsii (S.F.Blake) D.R.Morgan & R.L.Hartm.,Xanthisma wigginsii,Machaeranthera,Xanthisma
205,Artemisia eschscholtziana Besser,Artemisia biennis Willd.,Artemisia biennis Willd.,Artemisia biennis Willd.,Artemisia biennis,Artemisia australis Less.,Artemisia australis,Artemisia,Artemisia
228,Arnica amplexicaulis Wall. ex DC.,Pentacalia amplexicaulis (Kunth) Cuatrec.,Pentacalia amplexicaulis (Kunth) Cuatrec.,Pentacalia amplexicaulis (Kunth) Cuatrec.,Pentacalia amplexicaulis,Ligularia amplexicaulis DC.,Ligularia amplexicaulis,Pentacalia,Ligularia
243,Aster lusitanicus Brot.,Aster willkommii Sch.Bip.,Aster willkommii Sch.Bip.,Aster willkommii Sch.Bip.,Aster willkommii,Galatella aragonensis Nees,Galatella aragonensis,Aster,Galatella
245,Hieracium sachokianum Kem.-Nath.,Pilosella setigera Fr.,Pilosella setigera Fr.,Pilosella rothiana F.W.Schultz & Sch.Bip.,Pilosella rothiana,Pilosella cymosiformis (Froel.) Gottschl.,Pilosella cymosiformis,Pilosella,Pilosella
289,Piqueria hartwegi B.L.Rob.,Ophryosporus galioides (DC.) R.M.King & H.Rob.,Ophryosporus galioides (DC.) R.M.King & H.Rob.,Ophryosporus galioides (DC.) R.M.King & H.Rob.,Ophryosporus galioides,Ophryosporus hartwegii (B.L.Rob.) R.M.King & H.Rob.,Ophryosporus hartwegii,Ophryosporus,Ophryosporus
308,Gamochaeta standleyi (Steyerm.) G.L.Nesom,Pseudognaphalium standleyi (Steyerm.) G.L.Nesom,Pseudognaphalium standleyi (Steyerm.) G.L.Nesom,Pseudognaphalium standleyi (Steyerm.) G.L.Nesom,Pseudognaphalium standleyi,Gamochaeta standleyi (Steyerm.) G.L.Nesom,Gamochaeta standleyi,Pseudognaphalium,Gamochaeta
315,Bigelowia nevadensis (A.Gray) A.Gray,Ericameria parryi var. nevadensis (A.Gray) G.L.Nesom & G.I.Baird,Ericameria parryi var. nevadensis (A.Gray) G.L.Nesom & G.I.Baird,Ericameria parryi var. nevadensis (A.Gray) G.L.Nesom & G.I.Baird,Ericameria parryi,Solidago velutina subsp. sparsiflora (A.Gray) Semple,Solidago velutina,Ericameria,Solidago
321,Baeria leptalea (A.Gray) A.Gray,Lasthenia glabrata Lindl.,Lasthenia glabrata Lindl.,Lasthenia glabrata Lindl.,Lasthenia glabrata,Lasthenia leptalea (A.Gray) Ornduff,Lasthenia leptalea,Lasthenia,Lasthenia
332,Aster conyzoides Willd.,Sericocarpus conyzoides Nees,Sericocarpus conyzoides Nees,Sericocarpus conyzoides Nees,Sericocarpus conyzoides,Sericocarpus asteroides (L.) Nees,Sericocarpus asteroides,Sericocarpus,Sericocarpus
