,taxon_name_w_authors,202212_accepted_name_w_author,202306_taxon_name_w_authors,202306_chained_accepted_name_w_author,202306_chained_accepted_species,202306_direct_accepted_name_w_author,202306_direct_accepted_species,202306_chained_accepted_genus,202306_direct_accepted_genus
count,555,555,555,555,486,555,483,555,555
unique,555,279,279,278,225,298,229,218,235
top,Inga altissima (Hook.f.) Roberty,Pennisetum polystachion (L.) Schult.,Pennisetum polystachion (L.) Schult.,Setaria parviflora (Poir.) Kerguélen,Setaria parviflora,Cenchrus setosus subsp. setosus ,Cenchrus setosus,Albizia,Cenchrus
freq,1,40,40,40,40,38,39,49,40
