,taxon_name_w_authors,v10_accepted_name_w_author,v14_taxon_name_w_authors,v14_chained_accepted_name_w_author,v14_chained_accepted_species,v14_direct_accepted_name_w_author,v14_direct_accepted_species
275,Echinocactus horridus Gay,Eriosyce curvispina subsp. curvispina,Eriosyce curvispina subsp. curvispina,Eriosyce curvispina (Bertero ex Colla) Katt.,Eriosyce curvispina,Eriosyce horrida (Gay) P.C.Guerrero & Helmut Walter,Eriosyce horrida
448,Carthamodes Kuntze,Carthamus L.,Carthamus L.,Carthamus L.,,Carduncellus Adans.,
675,Tamala Raf.,Persea Mill.,Persea Mill.,Persea Mill.,,Tamala Raf.,
803,Zedoaria Raf.,Amomum Roxb.,Amomum Roxb.,Amomum Roxb.,,Curcuma L.,
842,Cyperus falciculosus Liebm.,Cyperus squarrosus L.,Cyperus squarrosus L.,Cyperus squarrosus L.,Cyperus squarrosus,Cyperus squarrosus var. squarrosus,Cyperus squarrosus
1322,Cleome nummularia DC.,Cleome rosea Vahl ex DC.,Cleome rosea Vahl ex DC.,Cleome rosea Vahl ex DC.,Cleome rosea,Cleome parviflora subsp. psoraleifolia (DC.) Iltis,Cleome parviflora
1408,Leptosyne DC.,Coreopsis L.,Coreopsis L.,Coreopsis L.,,Leptosyne DC.,
1626,Ribes ferox Sm.,Ribes menziesii Pursh,Ribes menziesii Pursh,Ribes menziesii Pursh,Ribes menziesii,Ribes menziesii var. menziesii,Ribes menziesii
1663,Galypola Nieuwl.,Polygala Tourn. ex L.,Polygala Tourn. ex L.,Polygala Tourn. ex L.,,Senega (DC.) Spach,
1664,Sexilia Raf.,Polygala Tourn. ex L.,Polygala Tourn. ex L.,Polygala Tourn. ex L.,,Senega (DC.) Spach,
1910,Andreettaea Luer,Pleurothallis R.Br.,Pleurothallis R.Br.,Pleurothallis R.Br.,,Andreettaea Luer,
1962,Panicum nitidum Lam.,Dichanthelium dichotomum (L.) Gould,Dichanthelium dichotomum (L.) Gould,Dichanthelium dichotomum (L.) Gould,Dichanthelium dichotomum,Dichanthelium nitidum (Lam.) Mohlenbr.,Dichanthelium nitidum
2031,Conohoria passoura DC.,Rinorea flavescens (Aubl.) Kuntze,Rinorea flavescens (Aubl.) Kuntze,Rinorea flavescens (Aubl.) Kuntze,Rinorea flavescens,Rinorea pubiflora (Benth.) Sprague & Sandwith,Rinorea pubiflora
2045,Euchilus R.Br.,Pultenaea Sm.,Pultenaea Sm.,Pultenaea Sm.,,Euchilus R.Br.,
2131,Lemmatium DC.,Calea L.,Calea L.,Calea L.,,Lemmatium DC.,
2605,Acalypha brasiliensis f. obtusa Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis Müll.Arg.,Acalypha brasiliensis,Acalypha brasiliensis subsp. asterotricha (Müll.Arg.) Cardiel & A.A.C.Sousa,Acalypha brasiliensis
2667,Ajuga pyramidalis f. rubra Svanlund,Ajuga pyramidalis L.,Ajuga pyramidalis L.,Ajuga pyramidalis L.,Ajuga pyramidalis,Ajuga pyramidalis subsp. pyramidalis,Ajuga pyramidalis
2724,Usteria Dennst.,Acalypha L.,Acalypha L.,Acalypha L.,,Symplocos Jacq.,
