,taxon_name_w_authors,202204_accepted_name_w_author,202406_taxon_name_w_authors,202406_chained_accepted_name_w_author,202406_chained_accepted_species,202406_direct_accepted_name_w_author,202406_direct_accepted_species,202406_chained_accepted_genus,202406_direct_accepted_genus
41,Matricaria karjaginii (Manden. & Sofij) Rauschert,Tripleurospermum caucasicum (Willd.) Hayek,Tripleurospermum caucasicum (Willd.) Hayek,Tripleurospermum caucasicum (Willd.) Hayek,Tripleurospermum caucasicum,Matricaria karjaginii (Manden. & Sofij) Rauschert,Matricaria karjaginii,Tripleurospermum,Matricaria
54,Melanoseris saxatilis Edgew.,Melanoseris macrorhiza (Royle) N.Kilian,Melanoseris macrorhiza (Royle) N.Kilian,Melanoseris macrorhiza (Royle) N.Kilian,Melanoseris macrorhiza,Lactuca macrorhiza Hook.f.,Lactuca macrorhiza,Melanoseris,Lactuca
69,Aequatorium cajamarcense H.Rob. & Cuatrec.,Nordenstamia cajamarcensis (H.Rob. & Cuatrec.) B.Nord.,Nordenstamia cajamarcensis (H.Rob. & Cuatrec.) B.Nord.,Nordenstamia cajamarcensis (H.Rob. & Cuatrec.) B.Nord.,Nordenstamia cajamarcensis,Aequatorium cajamarcense H.Rob. & Cuatrec.,Aequatorium cajamarcense,Nordenstamia,Aequatorium
76,Cirsium hippolyti (Bory & Chaub.) Link,Carduus collinus subsp. collinus ,Carduus collinus subsp. collinus ,Carduus collinus subsp. collinus ,Carduus collinus,Cirsium creticum d'Urv.,Cirsium creticum,Carduus,Cirsium
138,Diplostephium linifolium (L.) Sweet,Felicia linifolia (Harv.) Grau,Felicia linifolia (Harv.) Grau,Felicia linifolia (Harv.) Grau,Felicia linifolia,Galatella sedifolia (L.) Greuter,Galatella sedifolia,Felicia,Galatella
143,Cacalia vialis Kuntze,Cyanthillium cinereum var. viale (DC.) Isawumi,Cyanthillium cinereum var. viale (DC.) Isawumi,Cyanthillium cinereum var. viale (DC.) Isawumi,Cyanthillium cinereum,Vernonia vialis DC.,Vernonia vialis,Cyanthillium,Vernonia
208,Centaurea holophylla Soczava & Lipatova,Psephellus holophyllus (Soczava & Lipatova) Greuter,Psephellus holophyllus (Soczava & Lipatova) Greuter,Psephellus holophyllus (Soczava & Lipatova) Greuter,Psephellus holophyllus,Centaurea holophylla Soczava & Lipatova,Centaurea holophylla,Psephellus,Centaurea
240,Cacalia saligna Kuntze,Acilepis saligna (DC.) H.Rob.,Acilepis saligna (DC.) H.Rob.,Acilepis saligna (DC.) H.Rob.,Acilepis saligna,Vernonia saligna DC.,Vernonia saligna,Acilepis,Vernonia
317,Arnica amplexicaulis Wall. ex DC.,Ligularia amplexicaulis DC.,Ligularia amplexicaulis DC.,Ligularia amplexicaulis DC.,Ligularia amplexicaulis,Pentacalia amplexicaulis (Kunth) Cuatrec.,Pentacalia amplexicaulis,Ligularia,Pentacalia
330,Serratula coriacea Fisch. & C.A.Mey. ex DC.,Klasea coriacea (DC.) Holub,Klasea coriacea (DC.) Holub,Klasea coriacea (DC.) Holub,Klasea coriacea,Serratula coriacea Fisch. & C.A.Mey. ex DC.,Serratula coriacea,Klasea,Serratula
