,taxon_name_w_authors,202204_accepted_name_w_author,202406_taxon_name_w_authors,202406_chained_accepted_name_w_author,202406_chained_accepted_species,202406_direct_accepted_name_w_author,202406_direct_accepted_species,202406_chained_accepted_genus,202406_direct_accepted_genus
8,Molina obovata Ruiz & Pav.,Baccharis linearifolia subsp. chilco (Kunth) Joch.Müll.,Baccharis linearifolia subsp. chilco (Kunth) Joch.Müll.,Baccharis linearifolia subsp. chilco (Kunth) Joch.Müll.,Baccharis linearifolia,Baccharis chilco Kunth,Baccharis chilco,Baccharis,Baccharis
41,Matricaria karjaginii (Manden. & Sofij) Rauschert,Tripleurospermum caucasicum (Willd.) Hayek,Tripleurospermum caucasicum (Willd.) Hayek,Tripleurospermum caucasicum (Willd.) Hayek,Tripleurospermum caucasicum,Matricaria karjaginii (Manden. & Sofij) Rauschert,Matricaria karjaginii,Tripleurospermum,Matricaria
54,Melanoseris saxatilis Edgew.,Melanoseris macrorhiza (Royle) N.Kilian,Melanoseris macrorhiza (Royle) N.Kilian,Melanoseris macrorhiza (Royle) N.Kilian,Melanoseris macrorhiza,Lactuca macrorhiza Hook.f.,Lactuca macrorhiza,Melanoseris,Lactuca
64,Lacinaria serotina Greene,Liatris pycnostachya var. lasiophylla Shinners,Liatris pycnostachya var. lasiophylla Shinners,Liatris pycnostachya var. lasiophylla Shinners,Liatris pycnostachya,Liatris × serotina (Greene) Schumann,Liatris serotina,Liatris,Liatris
69,Aequatorium cajamarcense H.Rob. & Cuatrec.,Nordenstamia cajamarcensis (H.Rob. & Cuatrec.) B.Nord.,Nordenstamia cajamarcensis (H.Rob. & Cuatrec.) B.Nord.,Nordenstamia cajamarcensis (H.Rob. & Cuatrec.) B.Nord.,Nordenstamia cajamarcensis,Aequatorium cajamarcense H.Rob. & Cuatrec.,Aequatorium cajamarcense,Nordenstamia,Aequatorium
76,Cirsium hippolyti (Bory & Chaub.) Link,Carduus collinus subsp. collinus ,Carduus collinus subsp. collinus ,Carduus collinus subsp. collinus ,Carduus collinus,Cirsium creticum d'Urv.,Cirsium creticum,Carduus,Cirsium
90,Leysera callicornia L.,Leysera gnaphalodes (L.) L.,Leysera gnaphalodes (L.) L.,Leysera gnaphalodes (L.) L.,Leysera gnaphalodes,Leysera callicornia L.,Leysera callicornia,Leysera,Leysera
103,Achillea millefolium f. scabra (Host) J.Weiss,Achillea millefolium L.,Achillea millefolium L.,Achillea millefolium L.,Achillea millefolium,Achillea aspleniifolia Vent.,Achillea aspleniifolia,Achillea,Achillea
132,Nothites latifolia Cass.,Stevia melissifolia Sch.Bip.,Stevia melissifolia Sch.Bip.,Stevia melissifolia Sch.Bip.,Stevia melissifolia,Stevia melissaefolia (Lam.) Sch.Bip.,Stevia melissaefolia,Stevia,Stevia
138,Diplostephium linifolium (L.) Sweet,Felicia linifolia (Harv.) Grau,Felicia linifolia (Harv.) Grau,Felicia linifolia (Harv.) Grau,Felicia linifolia,Galatella sedifolia (L.) Greuter,Galatella sedifolia,Felicia,Galatella
143,Cacalia vialis Kuntze,Cyanthillium cinereum var. viale (DC.) Isawumi,Cyanthillium cinereum var. viale (DC.) Isawumi,Cyanthillium cinereum var. viale (DC.) Isawumi,Cyanthillium cinereum,Vernonia vialis DC.,Vernonia vialis,Cyanthillium,Vernonia
150,Baccharis glutinosa Pers.,Baccharis salicifolia (Ruiz & Pav.) Pers.,Baccharis salicifolia (Ruiz & Pav.) Pers.,Baccharis salicifolia (Ruiz & Pav.) Pers.,Baccharis salicifolia,Baccharis glutinosa Pers.,Baccharis glutinosa,Baccharis,Baccharis
151,Gnaphalium rosmarinifolium Sieber ex Spreng.,Ozothamnus rosmarinifolius (Labill.) Sweet,Ozothamnus rosmarinifolius (Labill.) Sweet,Ozothamnus rosmarinifolius (Labill.) Sweet,Ozothamnus rosmarinifolius,Ozothamnus diosmifolius DC.,Ozothamnus diosmifolius,Ozothamnus,Ozothamnus
159,Verbesina scabra Benth.,Verbesina encelioides (Cav.) A.Gray,Verbesina encelioides (Cav.) A.Gray,Verbesina encelioides (Cav.) A.Gray,Verbesina encelioides,Verbesina tetraptera A.Gray,Verbesina tetraptera,Verbesina,Verbesina
178,Baccharis reticulata (Ruiz & Pav.) Pers.,Baccharis venosa Pers.,Baccharis venosa Pers.,Baccharis venosa Pers.,Baccharis venosa,Baccharis reticulata (Ruiz & Pav.) Pers.,Baccharis reticulata,Baccharis,Baccharis
208,Centaurea holophylla Soczava & Lipatova,Psephellus holophyllus (Soczava & Lipatova) Greuter,Psephellus holophyllus (Soczava & Lipatova) Greuter,Psephellus holophyllus (Soczava & Lipatova) Greuter,Psephellus holophyllus,Centaurea holophylla Soczava & Lipatova,Centaurea holophylla,Psephellus,Centaurea
240,Cacalia saligna Kuntze,Acilepis saligna (DC.) H.Rob.,Acilepis saligna (DC.) H.Rob.,Acilepis saligna (DC.) H.Rob.,Acilepis saligna,Vernonia saligna DC.,Vernonia saligna,Acilepis,Vernonia
257,Baccharis mirabilis Heering,Baccharis salicifolia (Ruiz & Pav.) Pers.,Baccharis salicifolia (Ruiz & Pav.) Pers.,Baccharis salicifolia (Ruiz & Pav.) Pers.,Baccharis salicifolia,Baccharis scandens Pers.,Baccharis scandens,Baccharis,Baccharis
264,Taraxacum platyceras Dahlst.,Taraxacum ceratophorum (Ledeb.) DC.,Taraxacum ceratophorum (Ledeb.) DC.,Taraxacum ceratophorum (Ledeb.) DC.,Taraxacum ceratophorum,Taraxacum platyceras Dahlst.,Taraxacum platyceras,Taraxacum,Taraxacum
278,Artemisia eschscholtziana Besser,Artemisia australis Less.,Artemisia australis Less.,Artemisia australis Less.,Artemisia australis,Artemisia biennis Willd.,Artemisia biennis,Artemisia,Artemisia
317,Arnica amplexicaulis Wall. ex DC.,Ligularia amplexicaulis DC.,Ligularia amplexicaulis DC.,Ligularia amplexicaulis DC.,Ligularia amplexicaulis,Pentacalia amplexicaulis (Kunth) Cuatrec.,Pentacalia amplexicaulis,Ligularia,Pentacalia
330,Serratula coriacea Fisch. & C.A.Mey. ex DC.,Klasea coriacea (DC.) Holub,Klasea coriacea (DC.) Holub,Klasea coriacea (DC.) Holub,Klasea coriacea,Serratula coriacea Fisch. & C.A.Mey. ex DC.,Serratula coriacea,Klasea,Serratula
341,Aster lusitanicus Brot.,Galatella aragonensis Nees,Galatella aragonensis Nees,Galatella aragonensis Nees,Galatella aragonensis,Aster willkommii Sch.Bip.,Aster willkommii,Galatella,Aster
344,Hieracium sachokianum Kem.-Nath.,Pilosella cymosiformis (Froel.) Gottschl.,Pilosella cymosiformis (Froel.) Gottschl.,Pilosella cymosiformis (Froel.) Gottschl.,Pilosella cymosiformis,Pilosella visianii F.W.Schultz & Sch.Bip.,Pilosella visianii,Pilosella,Pilosella
374,Aster patulus Lam.,"Symphyotrichum × tardiflorum (L.) Greuter, M.V.Agab. & Wagenitz","Symphyotrichum × tardiflorum (L.) Greuter, M.V.Agab. & Wagenitz","Symphyotrichum × tardiflorum (L.) Greuter, M.V.Agab. & Wagenitz",Symphyotrichum tardiflorum,Symphyotrichum patulum (Lam.) Karlsson,Symphyotrichum patulum,Symphyotrichum,Symphyotrichum
376,Lactuca alpina (L.) A.Gray,Cicerbita alpina Wallr.,Cicerbita alpina Wallr.,Cicerbita alpina Wallr.,Cicerbita alpina,Lactuca alpina (L.) A.Gray,Lactuca alpina,Cicerbita,Lactuca
378,Gazania pavonia (Andrews) R.Br.,Gazania rigida (Burm.f.) Roessler,Gazania rigida (Burm.f.) Roessler,Gazania rigida (Burm.f.) Roessler,Gazania rigida,Gazania rigens (L.) Gaertn.,Gazania rigens,Gazania,Gazania
417,Chromolaena barranquillensis (Hieron.) R.M.King & H.Rob.,Chromolaena odorata (L.) R.M.King & H.Rob.,Chromolaena odorata (L.) R.M.King & H.Rob.,Chromolaena odorata (L.) R.M.King & H.Rob.,Chromolaena odorata,Chromolaena barranquillensis (Hieron.) R.M.King & H.Rob.,Chromolaena barranquillensis,Chromolaena,Chromolaena
437,Crepis hypochaeridea subsp. rhodesica Babc.,Crepis hypochoeridea Thell.,Crepis hypochoeridea Thell.,Crepis hypochoeridea Thell.,Crepis hypochoeridea,Crepis hypochaeridea (DC.) Thell.,Crepis hypochaeridea,Crepis,Crepis
441,Cineraria cacaliformis Lam.,Ligularia sibirica subsp. sibirica ,Ligularia sibirica subsp. sibirica ,Ligularia sibirica subsp. sibirica ,Ligularia sibirica,Ligularia cacaliiformis (Lam.) Nakai,Ligularia cacaliiformis,Ligularia,Ligularia
447,Anaphalis araneosa DC.,Anaphalis busua DC.,Anaphalis busua DC.,Anaphalis busua DC.,Anaphalis busua,Anaphalis araneosa DC.,Anaphalis araneosa,Anaphalis,Anaphalis
466,Aster conyzoides Willd.,Sericocarpus asteroides (L.) Nees,Sericocarpus asteroides (L.) Nees,"Sericocarpus asteroides (L.) Britton, Sterns & Poggenb.",Sericocarpus asteroides,Sericocarpus conyzoides Nees,Sericocarpus conyzoides,Sericocarpus,Sericocarpus
493,Jurinea pollichii Koch ex Nyman,Jurinea cyanoides (L.) Rchb.,Jurinea cyanoides (L.) Rchb.,Jurinea cyanoides (L.) Rchb.,Jurinea cyanoides,Jurinea pollichii Koch ex Nyman,Jurinea pollichii,Jurinea,Jurinea
515,Oligogyne synedrelloides Hook. & Arn.,Calyptocarpus brasiliensis (Nees & Mart.) B.L.Turner,Calyptocarpus brasiliensis (Nees & Mart.) B.L.Turner,Calyptocarpus brasiliensis (Nees & Mart.) B.L.Turner,Calyptocarpus brasiliensis,Calyptocarpus biaristatus (DC.) H.Rob.,Calyptocarpus biaristatus,Calyptocarpus,Calyptocarpus
558,Trichocline beckeri B.L.Rob.,Chaptalia hieracioides (Kunth) X.D.Xu & W.Zheng,Chaptalia hieracioides (Kunth) X.D.Xu & W.Zheng,Chaptalia hieracioides (Kunth) X.D.Xu & W.Zheng,Chaptalia hieracioides,Trichocline hieracioides (Kunth) Ferreyra,Trichocline hieracioides,Chaptalia,Trichocline
573,Erigeron diversifolius Rich. ex Rchb.,Erigeron annuus (L.) Pers.,Erigeron annuus (L.) Pers.,Erigeron annuus (L.) Desf.,Erigeron annuus,Bellis annua L.,Bellis annua,Erigeron,Bellis
582,Verbesina olivacea Klatt,Verbesina persicifolia DC.,Verbesina persicifolia DC.,Verbesina persicifolia DC.,Verbesina persicifolia,Verbesina olivacea Klatt,Verbesina olivacea,Verbesina,Verbesina
583,Psiadia dodonaeifolia Steetz,Psiadia punctulata Vatke,Psiadia punctulata Vatke,Psiadia punctulata Vatke,Psiadia punctulata,Psiadia dodonaeifolia Steetz,Psiadia dodonaeifolia,Psiadia,Psiadia
592,Dipterotheca kotschyi Sch.Bip. ex Hochst.,Aspilia kotschyi (Sch.Bip. ex Hochst.) Oliv.,Aspilia kotschyi (Sch.Bip. ex Hochst.) Oliv.,Aspilia kotschyi (Sch.Bip. ex Hochst.) Oliv.,Aspilia kotschyi,Aspilia kotschyana Benth. & Hook.f. ex B.D.Jacks.,Aspilia kotschyana,Aspilia,Aspilia
594,Theodorea crepidifolia (Turcz.) Soják,Saussurea runcinata DC.,Saussurea runcinata DC.,Saussurea runcinata DC.,Saussurea runcinata,Saussurea alata DC.,Saussurea alata,Saussurea,Saussurea
599,Calendula glabrata Thunb.,Osteospermum oppositifolium (Ait.) Norl.,Osteospermum oppositifolium (Ait.) Norl.,Osteospermum oppositifolium (Ait.) Norl.,Osteospermum oppositifolium,Tripteris oppositifolia (Aiton) B.Nord.,Tripteris oppositifolia,Osteospermum,Tripteris
603,Gnaphalium spadiceum Lam.,Helichrysum cylindriflorum (L.) Hilliard & B.L.Burtt,Helichrysum cylindriflorum (L.) Hilliard & B.L.Burtt,Helichrysum cylindriflorum (L.) Hilliard & B.L.Burtt,Helichrysum cylindriflorum,Helichrysum cymosum (L.) D.Don,Helichrysum cymosum,Helichrysum,Helichrysum
629,Senecio rowleyanus H.Jacobsen,Curio rowleyanus (H.Jacobsen) P.V.Heath,Curio rowleyanus (H.Jacobsen) P.V.Heath,Kleinia rowleyana (H.Jacobsen) G.Kunkel,Kleinia rowleyana,Senecio rowleyanus H.Jacobsen,Senecio rowleyanus,Kleinia,Senecio
634,Anthemis mucronulata K.Koch,Anthemis marschalliana subsp. pectinata (Boiss.) Grierson,Anthemis marschalliana subsp. pectinata (Boiss.) Grierson,Anthemis marschalliana subsp. pectinata (Boiss.) Grierson,Anthemis marschalliana,Tripleurospermum caucasicum (Willd.) Hayek,Tripleurospermum caucasicum,Anthemis,Tripleurospermum
672,Euthamia scabra Greene,Solidago altissima subsp. altissima ,Solidago altissima subsp. altissima ,Solidago altissima subsp. altissima ,Solidago altissima,Euthamia scabra Greene,Euthamia scabra,Solidago,Euthamia
689,Aster spathularis Steud.,Grindelia inuloides Willd.,Grindelia inuloides Willd.,Grindelia inuloides Willd.,Grindelia inuloides,Inula salicina L.,Inula salicina,Grindelia,Inula
692,Oglifa gallica (L.) Chrtek & Holub,Logfia gallica Coss. & Germ.,Logfia gallica Coss. & Germ.,Logfia gallica Coss. & Germ.,Logfia gallica,Filago gallica L.,Filago gallica,Logfia,Filago
703,Heteropappus biennis (Ledeb.) Tamamsch. ex Grubov,Symphyotrichum falcatum var. commutatum (Torr. & A.Gray) G.L.Nesom,Symphyotrichum falcatum var. commutatum (Torr. & A.Gray) G.L.Nesom,Symphyotrichum falcatum var. commutatum (Torr. & A.Gray) G.L.Nesom,Symphyotrichum falcatum,Kalimeris tatarica Lindl. ex DC.,Kalimeris tatarica,Symphyotrichum,Kalimeris
