,taxon_name_w_authors,v11_accepted_name_w_author,v12_taxon_name_w_authors,v12_chained_accepted_name_w_author,v12_chained_accepted_species,v12_direct_accepted_name_w_author,v12_direct_accepted_species
count,4129,4129,4129,4129,4058,4129,4059
unique,4129,1518,1518,1517,1444,1668,1516
top,Viola tricolor var. ruralis (Jord. ex Boreau) Corb.,Sorghum bicolor (L.) Moench,Sorghum bicolor (L.) Moench,Sorghum bicolor (L.) Moench,Sorghum bicolor,Sorghum bicolor subsp. bicolor,Sorghum bicolor
freq,1,330,330,330,330,330,330
