,taxon_name_w_authors,v11_accepted_name_w_author,v12_taxon_name_w_authors,v12_chained_accepted_name_w_author,v12_chained_accepted_species,v12_direct_accepted_name_w_author,v12_direct_accepted_species
9902,Betula pubescens f. curtipendula Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
9904,Betula pubescens f. nemoralis Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
9906,Betula pubescens f. nemorosa Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
9907,Betula pubescens f. auriculata Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
9908,Betula pubescens f. helvola Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
9909,Betula pubescens f. mellifera Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
9910,Betula pubescens f. dumetorum Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
9911,Betula pubescens f. parallela Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
9912,Betula pubescens f. stenocarpa Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
9914,Betula pubescens f. torminalis Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
9915,Betula pubescens f. turgida Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
9916,Betula pubescens f. amoena Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
9917,Betula pubescens f. ludens Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
9918,Betula pubescens f. depressa Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
9919,Betula pubescens f. suberecta Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
9920,Betula pubescens f. horrida Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
9921,Betula pubescens f. hirsuta Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
9922,Betula pubescens f. populifomis Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
9923,Betula pubescens f. cordata Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
9924,Betula pubescens f. reticulata Laest.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens Ehrh.,Betula pubescens,Betula pubescens var. pubescens,Betula pubescens
12032,Trias pusilla J.Joseph & H.Deka,Bulbophyllum moniliforme C.S.P.Parish & Rchb.f.,Bulbophyllum moniliforme C.S.P.Parish & Rchb.f.,Bulbophyllum moniliforme C.S.P.Parish & Rchb.f.,Bulbophyllum moniliforme,"Bulbophyllum jejosephii J.J.Verm., Schuit. & de Vogel",Bulbophyllum jejosephii
13667,Hecabe Raf.,Calanthe R.Br.,Calanthe R.Br.,Calanthe R.Br.,,Phaius Lour.,
13671,Cyanorkis Thouars,Calanthe R.Br.,Calanthe R.Br.,Calanthe R.Br.,,Phaius Lour.,
13675,Limatodis Blume,Calanthe R.Br.,Calanthe R.Br.,Calanthe R.Br.,,Phaius Lour.,
13679,Pachyne Salisb.,Calanthe R.Br.,Calanthe R.Br.,Calanthe R.Br.,,Phaius Lour.,
13683,Phaius Lour.,Calanthe R.Br.,Calanthe R.Br.,Calanthe R.Br.,,Phaius Lour.,
13684,Phajus Hassk.,Calanthe R.Br.,Calanthe R.Br.,Calanthe R.Br.,,Phaius Lour.,
13685,Pesomeria Lindl.,Calanthe R.Br.,Calanthe R.Br.,Calanthe R.Br.,,Phaius Lour.,
13687,Tankervillia Link,Calanthe R.Br.,Calanthe R.Br.,Calanthe R.Br.,,Phaius Lour.,
13688,Paraphaius J.W.Zhai & F.W.Xing,Calanthe R.Br.,Calanthe R.Br.,Calanthe R.Br.,,Phaius Lour.,
13922,Calanthe candida Bosser,Calanthe sylvatica (Thouars) Lindl.,Calanthe sylvatica (Thouars) Lindl.,Calanthe sylvatica (Thouars) Lindl.,Calanthe sylvatica,Calanthe candida Bosser,Calanthe candida
13963,Calanthe nephroglossa Schltr.,Calanthe triplicata (Willemet) Ames,Calanthe triplicata (Willemet) Ames,Calanthe triplicata (Willemet) Ames,Calanthe triplicata,Calanthe nephroglossa Schltr.,Calanthe nephroglossa
17194,Ragala Pierre,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,,Ragala Pierre,
17199,Prieurella Pierre,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,,Prieurella Pierre,
17200,Achrouteria Eyma,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,,Achrouteria Eyma,
17203,Martiusella Pierre,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,,Martiusella Pierre,
17207,Chloroluma Baill.,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,,Chloroluma Baill.,
17208,Fibrocentrum Pierre ex Glaziou,Chrysophyllum L.,Chrysophyllum L.,Chrysophyllum L.,,Chloroluma Baill.,
18002,Siphonanthus capitatus (Willd.) S.Moore,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum,Clerodendrum capitatum var. capitatum,Clerodendrum capitatum
18003,Clerodendrum capitatum Hook.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum,Clerodendrum capitatum var. capitatum,Clerodendrum capitatum
18006,Siphonanthus conglobatus (Baker) Hiern,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum,Clerodendrum capitatum var. capitatum,Clerodendrum capitatum
18007,Clerodendrum conglobatum Baker,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum,Clerodendrum capitatum var. capitatum,Clerodendrum capitatum
18008,Clerodendrum whitfieldii Seem.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum,Clerodendrum capitatum var. capitatum,Clerodendrum capitatum
18009,Clerodendrum talbotii Wernham,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum,Clerodendrum capitatum var. capitatum,Clerodendrum capitatum
18010,Clerodendrum obanense Wernham,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum,Clerodendrum capitatum var. capitatum,Clerodendrum capitatum
18011,Clerodendrum capitatum var. conglobatum (Baker) B.Thomas,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum,Clerodendrum capitatum var. capitatum,Clerodendrum capitatum
18012,Clerodendrum capitatum var. talbotii (Wernham) B.Thomas,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum (Willd.) Schumach.,Clerodendrum capitatum,Clerodendrum capitatum var. capitatum,Clerodendrum capitatum
18721,Exorrhiza vaupelii Burret,Clinostigma warburgii Becc.,Clinostigma warburgii Becc.,Clinostigma warburgii Becc.,Clinostigma warburgii,Clinostigma savaiiense Christoph.,Clinostigma savaiiense
18722,Clinostigma vaupelii Burret,Clinostigma warburgii Becc.,Clinostigma warburgii Becc.,Clinostigma warburgii Becc.,Clinostigma warburgii,Clinostigma savaiiense Christoph.,Clinostigma savaiiense
18724,Clinostigma savaiiense Christoph.,Clinostigma warburgii Becc.,Clinostigma warburgii Becc.,Clinostigma warburgii Becc.,Clinostigma warburgii,Clinostigma savaiiense Christoph.,Clinostigma savaiiense
20640,Eucalyptus variegata F.Muell.,Corymbia citriodora (Hook.) K.D.Hill & L.A.S.Johnson,Corymbia citriodora (Hook.) K.D.Hill & L.A.S.Johnson,Corymbia citriodora (Hook.) K.D.Hill & L.A.S.Johnson,Corymbia citriodora,Corymbia variegata (F.Muell.) K.D.Hill & L.A.S.Johnson,Corymbia variegata
20653,Eucalyptus capricornia D.J.Carr & S.G.M.Carr,Corymbia dichromophloia (F.Muell.) K.D.Hill & L.A.S.Johnson,Corymbia dichromophloia (F.Muell.) K.D.Hill & L.A.S.Johnson,Corymbia dichromophloia (F.Muell.) K.D.Hill & L.A.S.Johnson,Corymbia dichromophloia,Corymbia capricornia (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson,Corymbia capricornia
20655,Corymbia capricornia (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson,Corymbia dichromophloia (F.Muell.) K.D.Hill & L.A.S.Johnson,Corymbia dichromophloia (F.Muell.) K.D.Hill & L.A.S.Johnson,Corymbia dichromophloia (F.Muell.) K.D.Hill & L.A.S.Johnson,Corymbia dichromophloia,Corymbia capricornia (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson,Corymbia capricornia
20656,Eucalyptus drysdalensis D.J.Carr & S.G.M.Carr,Corymbia dichromophloia (F.Muell.) K.D.Hill & L.A.S.Johnson,Corymbia dichromophloia (F.Muell.) K.D.Hill & L.A.S.Johnson,Corymbia dichromophloia (F.Muell.) K.D.Hill & L.A.S.Johnson,Corymbia dichromophloia,Corymbia drysdalensis (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson,Corymbia drysdalensis
20710,Corymbia setosa subsp. pedicellaris K.D.Hill & L.A.S.Johnson,Corymbia setosa (Schauer) K.D.Hill & L.A.S.Johnson,Corymbia setosa (Schauer) K.D.Hill & L.A.S.Johnson,Corymbia setosa (Schauer) K.D.Hill & L.A.S.Johnson,Corymbia setosa,Corymbia setosa subsp. pedicellaris K.D.Hill & L.A.S.Johnson,Corymbia setosa
21481,Croton cascarilla Lam.,Croton flavens L.,Croton flavens L.,Croton flavens L.,Croton flavens,Croton eluteria (L.) W.Wright,Croton eluteria
21482,Croton albidus Müll.Arg.,Croton flavens L.,Croton flavens L.,Croton flavens L.,Croton flavens,Croton humilis L.,Croton humilis
21488,Croton lamarckianus Moldenke,Croton flavens L.,Croton flavens L.,Croton flavens L.,Croton flavens,Croton eluteria (L.) W.Wright,Croton eluteria
21495,Oxydectes albida (Müll.Arg.) Kuntze,Croton flavens L.,Croton flavens L.,Croton flavens L.,Croton flavens,Croton humilis L.,Croton humilis
22724,Macrophloga Becc.,Dypsis Noronha ex Mart.,Dypsis Noronha ex Mart.,Dypsis Noronha ex Mart.,,Chrysalidocarpus H.Wendl.,
22949,Hemiperis micrantha Frapp. ex Cordem.,Cynorkis falcata (Frapp. ex Cordem.) Schltr.,Cynorkis falcata (Frapp. ex Cordem.) Schltr.,Cynorkis falcata (Frapp. ex Cordem.) Schltr.,Cynorkis falcata,Cynorkis micrantha (Frapp. ex Cordem.) Schltr.,Cynorkis micrantha
28371,Chrysalidocarpus H.Wendl.,Dypsis Noronha ex Mart.,Dypsis Noronha ex Mart.,Dypsis Noronha ex Mart.,,Chrysalidocarpus H.Wendl.,
28376,Phlogella Baill.,Dypsis Noronha ex Mart.,Dypsis Noronha ex Mart.,Dypsis Noronha ex Mart.,,Chrysalidocarpus H.Wendl.,
28379,Antongilia Jum.,Dypsis Noronha ex Mart.,Dypsis Noronha ex Mart.,Dypsis Noronha ex Mart.,,Vonitra Becc.,
28380,Vonitra Becc.,Dypsis Noronha ex Mart.,Dypsis Noronha ex Mart.,Dypsis Noronha ex Mart.,,Vonitra Becc.,
30591,Eucalyptus subcaerulea K.D.Hill,Eucalyptus agglomerata Maiden,Eucalyptus agglomerata Maiden,Eucalyptus agglomerata Maiden,Eucalyptus agglomerata,Eucalyptus subcaerulea K.D.Hill,Eucalyptus subcaerulea
30593,Eucalyptus alba var. australasica Blakely & Jacobs,Eucalyptus alba Reinw. ex Blume,Eucalyptus alba Reinw. ex Blume,Eucalyptus alba Reinw. ex Blume,Eucalyptus alba,Eucalyptus alba var. australasica Blakely & Jacobs,Eucalyptus alba
30594,Eucalyptus leucadendron Reinw. ex de Vriese,Eucalyptus alba Reinw. ex Blume,Eucalyptus alba Reinw. ex Blume,Eucalyptus alba Reinw. ex Blume,Eucalyptus alba,Eucalyptus alba var. alba,Eucalyptus alba
30669,Eucalyptus caesia subsp. magna Brooker & Hopper,Eucalyptus caesia Benth.,Eucalyptus caesia Benth.,Eucalyptus caesia Benth.,Eucalyptus caesia,Eucalyptus caesia subsp. magna Brooker & Hopper,Eucalyptus caesia
30877,Eucalyptus leptophylla var. floribunda Blakely,Eucalyptus leptophylla F.Muell. ex Miq.,Eucalyptus leptophylla F.Muell. ex Miq.,Eucalyptus leptophylla F.Muell. ex Miq.,Eucalyptus leptophylla,Eucalyptus efflorescens L.A.S.Johnson & K.D.Hill ex D.Nicolle & M.E.French,Eucalyptus efflorescens
30997,Eucalyptus fergusonii R.T.Baker,Eucalyptus paniculata Sm.,Eucalyptus paniculata Sm.,Eucalyptus paniculata Sm.,Eucalyptus paniculata,Eucalyptus fergusonii R.T.Baker,Eucalyptus fergusonii
30998,Eucalyptus fergusonii subsp. dorsiventralis L.A.S.Johnson & K.D.Hill,Eucalyptus paniculata Sm.,Eucalyptus paniculata Sm.,Eucalyptus paniculata Sm.,Eucalyptus paniculata,Eucalyptus fergusonii subsp. dorsiventralis L.A.S.Johnson & K.D.Hill,Eucalyptus fergusonii
31064,Melaleuca gummifera Steud.,Eucalyptus resinifera J.White,Eucalyptus resinifera J.White,Eucalyptus resinifera J.White,Eucalyptus resinifera,Eucalyptus resinifera subsp. resinifera,Eucalyptus resinifera
31066,Eucalyptus resinifera var. grandiflora Benth.,Eucalyptus resinifera J.White,Eucalyptus resinifera J.White,Eucalyptus resinifera J.White,Eucalyptus resinifera,Eucalyptus resinifera subsp. resinifera,Eucalyptus resinifera
31067,Eucalyptus hemilampra F.Muell.,Eucalyptus resinifera J.White,Eucalyptus resinifera J.White,Eucalyptus resinifera J.White,Eucalyptus resinifera,Eucalyptus resinifera subsp. hemilampra (F.Muell.) L.A.S.Johnson & K.D.Hill,Eucalyptus resinifera
31127,Eucalyptus spectatrix L.A.S.Johnson & Blaxell,Eucalyptus stricta Sieber ex Spreng.,Eucalyptus stricta Sieber ex Spreng.,Eucalyptus stricta Sieber ex Spreng.,Eucalyptus stricta,Eucalyptus spectatrix L.A.S.Johnson & Blaxell,Eucalyptus spectatrix
31186,Eucalyptus aenea K.D.Hill,Eucalyptus viridis R.T.Baker,Eucalyptus viridis R.T.Baker,Eucalyptus viridis R.T.Baker,Eucalyptus viridis,Eucalyptus aenea K.D.Hill,Eucalyptus aenea
31896,Eugenia pisonis O.Berg,Eugenia moschata (Aubl.) Nied. ex T.Durand & B.D.Jacks.,Eugenia moschata (Aubl.) Nied. ex T.Durand & B.D.Jacks.,Eugenia moschata (Aubl.) Nied. ex T.Durand & B.D.Jacks.,Eugenia moschata,Eugenia pisonis O.Berg,Eugenia pisonis
32208,Eugenia doniana O.Berg,Eugenia stictopetala DC.,Eugenia stictopetala DC.,Eugenia stictopetala DC.,Eugenia stictopetala,Myrcia doniana O.Berg,Myrcia doniana
33895,Euphorbia bergeriana Dinter,Euphorbia gariepina subsp. balsamea (Welw. ex Hiern) L.C.Leach,Euphorbia gariepina subsp. balsamea (Welw. ex Hiern) L.C.Leach,Euphorbia gariepina subsp. balsamea (Welw. ex Hiern) L.C.Leach,Euphorbia gariepina,Euphorbia gariepina subsp. gariepina,Euphorbia gariepina
33933,Euphorbia schaeferi Dinter,Euphorbia gariepina subsp. balsamea (Welw. ex Hiern) L.C.Leach,Euphorbia gariepina subsp. balsamea (Welw. ex Hiern) L.C.Leach,Euphorbia gariepina subsp. balsamea (Welw. ex Hiern) L.C.Leach,Euphorbia gariepina,Euphorbia gariepina subsp. gariepina,Euphorbia gariepina
34532,Euphorbia latimammillaris Croizat,Euphorbia mammillaris L.,Euphorbia mammillaris L.,Euphorbia mammillaris L.,Euphorbia mammillaris,Euphorbia pseudoglobosa subsp. nesemannii (R.A.Dyer) Bruyns,Euphorbia pseudoglobosa
34556,Euphorbia currorii N.E.Br.,Euphorbia matabelensis Pax,Euphorbia matabelensis Pax,Euphorbia matabelensis Pax,Euphorbia matabelensis,Euphorbia currorii N.E.Br.,Euphorbia currorii
34738,Euphorbia cucumerina Willd.,Euphorbia obesa Hook.f.,Euphorbia obesa Hook.f.,Euphorbia obesa Hook.f.,Euphorbia obesa,Euphorbia polygona Haw.,Euphorbia polygona
34772,Euphorbia peplus var. amponitana Sennen,Euphorbia peplus L.,Euphorbia peplus L.,Euphorbia peplus L.,Euphorbia peplus,Euphorbia peplus var. peplus,Euphorbia peplus
34964,Euphorbia imbricata f. parvifolia Willk.,Euphorbia pithyusa L.,Euphorbia pithyusa L.,Euphorbia pithyusa L.,Euphorbia pithyusa,Euphorbia pithyusa subsp. pithyusa,Euphorbia pithyusa
36209,Faramea tenuifolia Rusby,Faramea occidentalis (L.) A.Rich.,Faramea occidentalis (L.) A.Rich.,Faramea occidentalis (L.) A.Rich.,Faramea occidentalis,Faramea tenuifolia Rusby,Faramea tenuifolia
37701,Galium verum var. vulgare Hartm.,Galium verum L.,Galium verum L.,Galium verum L.,Galium verum,Galium verum subsp. verum,Galium verum
37853,Gastrodia foetida Koidz.,Gastrodia nipponica (Honda) Tuyama,Gastrodia nipponica (Honda) Tuyama,Gastrodia nipponica (Honda) Tuyama,Gastrodia nipponica,Gastrodia foetida Koidz.,Gastrodia foetida
41435,Homalomena tonkinensis Engl.,Homalomena cochinchinensis Engl.,Homalomena cochinchinensis Engl.,Homalomena occulta (Lour.) Schott,Homalomena occulta,Homalomena tonkinensis Engl.,Homalomena tonkinensis
44014,Lamium purpureum f. albiflora Gérard,Lamium purpureum L.,Lamium purpureum L.,Lamium purpureum L.,Lamium purpureum,Lamium purpureum var. purpureum,Lamium purpureum
44253,Lantana sellowiana f. planifolia Cham.,Lantana montevidensis (Spreng.) Briq.,Lantana montevidensis (Spreng.) Briq.,Lantana montevidensis (Spreng.) Briq.,Lantana montevidensis,Lantana planifolia (Cham.) Briq.,Lantana planifolia
45015,Lepanthes doloma Luer & R.Vásquez,Lepanthes intonsa Luer,Lepanthes intonsa Luer,Lepanthes intonsa Luer,Lepanthes intonsa,Lepanthes doloma Luer & R.Vásquez,Lepanthes doloma
48223,Cameraria guianensis Aubl.,Malouetia tamaquarina var. tamaquarina,Malouetia tamaquarina var. tamaquarina,Malouetia tamaquarina var. tamaquarina,Malouetia tamaquarina,Malouetia guianensis (Aubl.) Miers,Malouetia guianensis
48230,Malouetia guianensis (Aubl.) Miers,Malouetia tamaquarina var. tamaquarina,Malouetia tamaquarina var. tamaquarina,Malouetia tamaquarina var. tamaquarina,Malouetia tamaquarina,Malouetia guianensis (Aubl.) Miers,Malouetia guianensis
52611,Sideroxylon rugosum var. parviflorum Miq.,Micropholis rugosa (Sw.) Pierre,Micropholis rugosa (Sw.) Pierre,Micropholis rugosa (Sw.) Pierre,Micropholis rugosa,Micropholis melinoniana Pierre,Micropholis melinoniana
53445,Nothomyrcia Kausel,Myrceugenia O.Berg,Myrceugenia O.Berg,Myrceugenia O.Berg,,Nothomyrcia Kausel,
54243,Myrtus communis var. adrianii Sennen,Myrtus communis L.,Myrtus communis L.,Myrtus communis L.,Myrtus communis,Myrtus communis subsp. communis,Myrtus communis
54244,Myrtus communis var. jonssetii Sennen,Myrtus communis L.,Myrtus communis L.,Myrtus communis L.,Myrtus communis,Myrtus communis subsp. communis,Myrtus communis
54245,Myrtus communis f. baetica (L.) Cout.,Myrtus communis L.,Myrtus communis L.,Myrtus communis L.,Myrtus communis,Myrtus communis subsp. communis,Myrtus communis
54246,Myrtus communis var. balearicus Sennen,Myrtus communis L.,Myrtus communis L.,Myrtus communis L.,Myrtus communis,Myrtus communis subsp. communis,Myrtus communis
54247,Myrtus communis f. belgica (L.) Cout.,Myrtus communis L.,Myrtus communis L.,Myrtus communis L.,Myrtus communis,Myrtus communis subsp. communis,Myrtus communis
54248,Myrtus communis var. bercialis Sennen,Myrtus communis L.,Myrtus communis L.,Myrtus communis L.,Myrtus communis,Myrtus communis subsp. communis,Myrtus communis
54249,Myrtus communis var. camboanus Sennen,Myrtus communis L.,Myrtus communis L.,Myrtus communis L.,Myrtus communis,Myrtus communis subsp. communis,Myrtus communis
54250,Myrtus communis var. eugeniae Sennen,Myrtus communis L.,Myrtus communis L.,Myrtus communis L.,Myrtus communis,Myrtus communis subsp. communis,Myrtus communis
54251,Myrtus communis var. gallachi Sennen,Myrtus communis L.,Myrtus communis L.,Myrtus communis L.,Myrtus communis,Myrtus communis subsp. communis,Myrtus communis
54252,Myrtus communis var. gausseni Sennen,Myrtus communis L.,Myrtus communis L.,Myrtus communis L.,Myrtus communis,Myrtus communis subsp. communis,Myrtus communis
54253,Myrtus communis var. gibertii Sennen,Myrtus communis L.,Myrtus communis L.,Myrtus communis L.,Myrtus communis,Myrtus communis subsp. communis,Myrtus communis
54254,Myrtus communis var. latifolia Willk.,Myrtus communis L.,Myrtus communis L.,Myrtus communis L.,Myrtus communis,Myrtus communis subsp. communis,Myrtus communis
54255,Myrtus communis subsp. lusitanica (L.) Arcang.,Myrtus communis L.,Myrtus communis L.,Myrtus communis L.,Myrtus communis,Myrtus communis subsp. communis,Myrtus communis
54256,Myrtus communis f. lusitanica (L.) Cout.,Myrtus communis L.,Myrtus communis L.,Myrtus communis L.,Myrtus communis,Myrtus communis subsp. communis,Myrtus communis
54257,Myrtus communis var. macrocarpa Sennen,Myrtus communis L.,Myrtus communis L.,Myrtus communis L.,Myrtus communis,Myrtus communis subsp. communis,Myrtus communis
54258,Myrtus communis var. melanocarpa DC.,Myrtus communis L.,Myrtus communis L.,Myrtus communis L.,Myrtus communis,Myrtus communis subsp. communis,Myrtus communis
