,taxon_name_w_authors,202306_accepted_name_w_author,202406_taxon_name_w_authors,202406_chained_accepted_name_w_author,202406_chained_accepted_species,202406_direct_accepted_name_w_author,202406_direct_accepted_species,202406_chained_accepted_genus,202406_direct_accepted_genus
374,Helmiopsis linearifolia subsp. sely (Arènes) Skema,Helmiopsis linearifolia (Hochr.) Skema,Helmiopsis linearifolia (Hochr.) Skema,Eriolaena linearifolia (Hochr.) Dorr,Eriolaena linearifolia,Eriolaena rigida (Baill.) Dorr,Eriolaena rigida,Eriolaena,Eriolaena
467,Molina obovata Ruiz & Pav.,Baccharis linearifolia subsp. chilco (Kunth) Joch.Müll.,Baccharis linearifolia subsp. chilco (Kunth) Joch.Müll.,Baccharis linearifolia subsp. chilco (Kunth) Joch.Müll.,Baccharis linearifolia,Baccharis chilco Kunth,Baccharis chilco,Baccharis,Baccharis
501,Matricaria karjaginii (Manden. & Sofij) Rauschert,Tripleurospermum caucasicum (Willd.) Hayek,Tripleurospermum caucasicum (Willd.) Hayek,Tripleurospermum caucasicum (Willd.) Hayek,Tripleurospermum caucasicum,Matricaria karjaginii (Manden. & Sofij) Rauschert,Matricaria karjaginii,Tripleurospermum,Matricaria
514,Melanoseris saxatilis Edgew.,Melanoseris macrorhiza (Royle) N.Kilian,Melanoseris macrorhiza (Royle) N.Kilian,Melanoseris macrorhiza (Royle) N.Kilian,Melanoseris macrorhiza,Lactuca macrorhiza Hook.f.,Lactuca macrorhiza,Melanoseris,Lactuca
525,Lacinaria serotina Greene,Liatris pycnostachya var. lasiophylla Shinners,Liatris pycnostachya var. lasiophylla Shinners,Liatris pycnostachya var. lasiophylla Shinners,Liatris pycnostachya,Liatris × serotina (Greene) Schumann,Liatris serotina,Liatris,Liatris
530,Aequatorium cajamarcense H.Rob. & Cuatrec.,Nordenstamia cajamarcensis (H.Rob. & Cuatrec.) B.Nord.,Nordenstamia cajamarcensis (H.Rob. & Cuatrec.) B.Nord.,Nordenstamia cajamarcensis (H.Rob. & Cuatrec.) B.Nord.,Nordenstamia cajamarcensis,Aequatorium cajamarcense H.Rob. & Cuatrec.,Aequatorium cajamarcense,Nordenstamia,Aequatorium
537,Cirsium hippolyti (Bory & Chaub.) Link,Carduus collinus subsp. collinus ,Carduus collinus subsp. collinus ,Carduus collinus subsp. collinus ,Carduus collinus,Cirsium creticum d'Urv.,Cirsium creticum,Carduus,Cirsium
551,Leysera callicornia L.,Leysera gnaphalodes (L.) L.,Leysera gnaphalodes (L.) L.,Leysera gnaphalodes (L.) L.,Leysera gnaphalodes,Leysera callicornia L.,Leysera callicornia,Leysera,Leysera
559,Conyza acuminata Wall.,Strobocalyx arborea (Buch.-Ham.) Sch.Bip.,Strobocalyx arborea (Buch.-Ham.) Sch.Bip.,Strobocalyx arborea (Buch.-Ham.) Sch.Bip.,Strobocalyx arborea,Vernonia arborea var. arborea ,Vernonia arborea,Strobocalyx,Vernonia
565,Achillea millefolium f. scabra (Host) J.Weiss,Achillea millefolium L.,Achillea millefolium L.,Achillea millefolium L.,Achillea millefolium,Achillea aspleniifolia Vent.,Achillea aspleniifolia,Achillea,Achillea
596,Nothites latifolia Cass.,Stevia melissifolia Sch.Bip.,Stevia melissifolia Sch.Bip.,Stevia melissifolia Sch.Bip.,Stevia melissifolia,Stevia melissaefolia (Lam.) Sch.Bip.,Stevia melissaefolia,Stevia,Stevia
602,Diplostephium linifolium (L.) Sweet,Felicia linifolia (Harv.) Grau,Felicia linifolia (Harv.) Grau,Felicia linifolia (Harv.) Grau,Felicia linifolia,Galatella sedifolia (L.) Greuter,Galatella sedifolia,Felicia,Galatella
608,Cacalia vialis Kuntze,Cyanthillium cinereum var. viale (DC.) Isawumi,Cyanthillium cinereum var. viale (DC.) Isawumi,Cyanthillium cinereum var. viale (DC.) Isawumi,Cyanthillium cinereum,Vernonia vialis DC.,Vernonia vialis,Cyanthillium,Vernonia
